property_url,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,assessed_value,estimated_value,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent,agent_email,agent_phones,broker,broker_phone,broker_website,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/1662201833,WECA,25506373,SOLD,"7 Units | All Single Story | Huge Upside | Great Unit Mix | Separately Metered for Water, Gas, & Electric",MULTI_FAMILY,4448 Elizabeth St,4448 Elizabeth St,,Cudahy,CA,90201,16,7,,6000,1959,28,1440000,2025-03-04,1400000,2025-04-01,153770,1403782,17464,233,33.962742,-118.189129,Southeast LA,Los Angeles,06037,1,0,1,Nicholas Petrosian,npetrosian@remaxcir.com,"[{'number': '5629913886', 'type': 'Mobile', 'ext': None, 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/0c3543be35ef383b95a7278177adc7a6l-b2881154183od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/0c3543be35ef383b95a7278177adc7a6l-b2881154183od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1645319230,MRCA,PW25041087,SOLD,"Welcome to this fantastic duplex in the heart of Cudahy, California. The main house offers 3 spacious bedrooms and 2 bathrooms, providing comfortable living for families or those looking for extra space. One of the bathrooms in the main house is off the primary bedroom. The back house featuring 2 bedrooms and 1 bathroom, ideal for guests, additional family members, or as a rental unit for added income potential. This property also boasts two one-car garages, offering ample storage and parking space. The generous driveway provides additional parking, making it perfect for large families or those who enjoy having guests over. Located in a central area of Cudahy, this duplex is close to local amenities, shopping, dining, and major transportation routes, offering both convenience and comfort. Don't miss the opportunity to own this versatile property with tons of potential!",MULTI_FAMILY,3811 Live Oak St,3811 Live Oak St,,Cudahy,CA,90201,,,,1954,1920,60,850000,2025-03-10,901000,2025-05-09,436462,842000,9264,461,33.969486,-118.199275,Southeast LA,Los Angeles,06037,1,,2,Cristina Picarelli,soldbypic@gmail.com,"[{'number': '(562) 234-7862', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4171775244od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4171775244od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3522150687od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3568588950od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m176217022od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m118519543od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3483134366od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3580963679od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m911261459od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m2245536319od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1542538994od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1815222435od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3358653426od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m58271364od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m2702574201od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m2518851513od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3676682806od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4100692897od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4105175247od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3821162941od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1125373868od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3592480588od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1045508335od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4007122663od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m2299760390od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1439057540od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m666196669od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4267695358od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m2098800993od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m1517541878od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m860903540od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m775858833od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4154897193od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m3121919815od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/da71e0f52902a2fe00bbd3d707be02ddl-m4144435991od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1583532298,MRCA,DW25057897,SOLD,WOW WOW WOW!!!!!!!!!! WOW!!!! WOW SUPER CLEAN HOUSE IN THE CITY OF CUDAHY NOT MANY HOMES FOR SALE VERY RARE OPPORTUNITY IN THE AREA 2BEDROOM AND 1 BATH ON HUGE LOT (R3) LONG DRIVEWAY LOTS OF SPACE TO BUILD,SINGLE_FAMILY,7723 Otis Ave,7723 Otis Ave,,Cudahy,CA,90201,2,1,,592,1924,36,599999,2025-03-17,600000,2025-04-22,246274,595800,4195,1014,33.965754,-118.194934,Southeast LA,Los Angeles,06037,1,0,,Rick Rodriguez,realtor21@hotmail.com,"[{'number': '5626771800', 'type': 'Office', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b160719683od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b160719683od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b569188743od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b1307405231od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b2386870982od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b2858091840od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b828553372od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b3060098414od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b1572778995od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b1242780941od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b1367407756od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b2540836473od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b3094537116od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/95d325bb99460083cd3fcb62ff05fc56l-b1270989259od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1201705358,WECA,24-375183,SOLD,"We are pleased to present 5100 Elizabeth Street, a 9-unit multifamily investment asset sitting on 33, 861 square feet of prime Southern California multifamily residential land. The property consists of (2) 3-bedroom single family homes, (5) 2-bedroom single family homes and (1) duplex, each with 2-bedroom units. Ample garage parking with (16) total spaces and tenants each pay their own gas and electric. There is approximately 45% upside in the current rents and the potential for multiple ADU's - Buyer to verify with city. The subject offering presents an excellent investment opportunity because of it's great location, significant amount of rental upside and ADU potential. BUYER TO VERIFY UNIT MIX AND SQUARE FOOTAGE WITH THE CITY OF CUDAHY.",MULTI_FAMILY,5100 Elizabeth St,5100 Elizabeth St,,Cudahy,CA,90201,20,11,,8064,1956,318,2550000,2024-04-02,1950000,2025-02-14,233626,1986565,33861,242,33.96164,-118.177101,Southeast LA,Los Angeles,06037,1,0,16,Nicholas Petrosian,npetrosian@remaxcir.com,"[{'number': '5629913886', 'type': 'Mobile', 'ext': None, 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/f3bbcf4ee2ec1742e08189bb0ffff798l-b3744554459od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/f3bbcf4ee2ec1742e08189bb0ffff798l-b3744554459od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1563110561,MRCA,PW24030331,SOLD,"There is rent control state wide, buyers agent to check on perameters. This is a two houses on a lot, the lot is 13, 951 sq. ft. zoned Industrial Innovative. The city planner stated that a zone change back to R3 for $7500 fee, buyer to submit request to city.",MULTI_FAMILY,4546 Santa Ana St,4546 Santa Ana St,,Cudahy,CA,90201,,,,1489,1924,308,995000,2024-02-13,915000,2024-12-17,75937,926000,13913,615,33.960593,-118.188069,Southeast LA,Los Angeles,06037,,,2,Michael Young,mikeyoungappraiser@gmail.com,"[{'number': '5627068075', 'type': 'Office', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b929833881od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b929833881od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b993337341od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b1132455724od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b371747565od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b4067758762od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b3255032759od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1942cb5a9252792b0ef28382d6813951l-b4087207537od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1577457949,MRCA,SB24221658,SOLD,"This well-maintained property features four updated units, all in a highly desirable area with excellent rental income. Each unit has been upgraded with modern kitchens and bathrooms, ensuring long-term value and tenant satisfaction. Unit Breakdown: 3 - 1 bedroom/1 bathroom units in the front buiding and a rear spacious 2-bedroom, 1-bathroom unit located above the garages. With its updated amenities and great location, this property is poised for continued success and high rental demand.",MULTI_FAMILY,7327 Wilcox Ave,7327 Wilcox Ave,,Bell,CA,90201,,,,2568,1955,53,1459000,2024-10-25,1350000,2024-12-17,1382100,1378094,5848,526,33.967382,-118.178452,Southeast LA,Los Angeles,06037,2,0,3,Marisol Alarcon,Marisol@MarisolAlarcon.com,"[{'number': '3102007961', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m497813743od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m497813743od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m884043631od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m2471193537od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3493847498od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3140040260od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m545115237od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1286278805od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m2973919179od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m828593598od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1681579309od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1366075959od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1869760571od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3136443111od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3160631652od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3303901375od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m847774229od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3603825540od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1088925750od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1214778767od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m949738020od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m2489233062od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3527928675od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m171945666od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1596911885od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1879851376od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3149702212od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m2114257890od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m3636272906od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m1453063619od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m2456747570od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a3589c6de5f802c0330b7be8c399f4dfl-m806708256od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1616065465,MRCA,CV24250638,SOLD,"Step into the story of 4015 Flower St, a true gem nestled in the heart of Cudahy! From the moment you arrive, its clear this lovingly maintained home is bursting with charm and character. As you enter through the front door, youre welcomed by a bright and spacious living room, complete with a cozy faux fireplace that sets the stage for countless warm moments. The adjacent formal dining room boasts an original built-in china cabineta timeless feature that adds elegance and nostalgia to your meals. Calling all chefs and food enthusiasts! The efficient kitchen is packed with storage and counter space, making meal prep a breeze. Just off the kitchen, youll find a delightful dining nookperfect for casual breakfasts or catching up with loved ones while you whip up your favorite recipes. Laundry day? No problem! The spacious laundry room is equipped with hookups for both a washer and gas dryer. Plus, theres a convenient bathroom right nearby, ideal for freshening up after tending to the lush backyard garden. Filled with vibrant fruit trees, its a green oasis where you can unwind, grow your own produce, or simply soak in the serenity. But lets talk about the bedroomsthree generously sized retreats await, offering plenty of room to relax and recharge. The full bathroom features a bathing tub, a separate shower, and abundant linen closets to keep all your essentials neatly tucked away. This meticulously cared-for home is perfect for entertaining, with versatile spaces that flow seamlessly from indoors to outdoors. Whether youre hosting a lively gathering or enjoying a quiet evening under the stars, 4015 Flower St has you covered. Dont just take our word for itcome experience the magic of 4015 Flower St for yourself.",SINGLE_FAMILY,4015 Flower St,4015 Flower St,,Cudahy,CA,90201,3,1,1,1600,1929,48,805000,2024-12-18,851700,2025-02-04,84960,839200,9647,532,33.968098,-118.19668,Southeast LA,Los Angeles,06037,1,0,2,Joe Napoli,joe@joenapoli.net,"[{'number': '6268254863', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2253367792od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2253367792od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b531639899od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3954132592od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2632082493od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1984013422od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b4136323160od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2049545449od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3298137895od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3973673811od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1307947566od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2591717031od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1245711849od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3500816816od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b949575697od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1058381954od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b98762655od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2427716185od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b386834844od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1801768311od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2011059571od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1565148047od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3343624182od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2434715465od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b3338349801od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b360756175od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1832745031od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1790310168od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b2868037260od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b4266267348od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1730876587od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b989735391od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/d8f918ae9eb5e3e9747af77050d3e67el-b1400796093od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1359377561,MRCA,CV24152471,SOLD,"Multifamily Properties for Sale in Cudahy CA. 6 Units one story in good condition, fully leased. In a month-to-month lease. The building area is 5246 SF, on almost 1/2 AC. The Huge lot is 20, 112 SF. The property is in average condition. DO NOT DISTURB THE TENANTS PLEASE. Cudahy is a city in Los Angeles County, California, with a population of approximately 24, 000 people. It is located southeast of downtown Los Angeles and is known for its diverse population and strong community ties. The city has a rich history and offers various amenities such as parks, schools, and local businesses.",MULTI_FAMILY,4742 S Live Oak St,4742 S Live Oak St,,Cudahy,CA,90201,,,,5246,1962,139,1675000,2024-07-26,1675000,2024-12-12,212901,1709857,20112,319,33.966813,-118.182673,Southeast LA,Los Angeles,06037,,0,6,Rosalba Farias,ROSALBA57AG@GMAIL.COM,"[{'number': '6266064888', 'type': 'Mobile', 'ext': '', 'primary': True}, {'number': '6266064888', 'type': 'Office', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,http://ap.rdcpix.com/65127f0a450a709970654db2bee3755bl-m432309954od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/65127f0a450a709970654db2bee3755bl-m432309954od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/65127f0a450a709970654db2bee3755bl-m418274124od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1096248059,MRCA,MB24105643,SOLD,"SHOW & SELL. The exterior was recently painted and all the 4-units are in livable condition and the 4-units are 2 bedrooms, 1 bathroom with large closets, agents show to your fussy buyers these units have good rents and 3 of the renters are section 8 , which rents are on the first of the month in your account. For 1-Time Home Buyers ask for one unit to be vacant, all units are the same size. Agents look at the supplements for rental information.",MULTI_FAMILY,7727 Walker Ave,7727 Walker Ave,,Cudahy,CA,90201,,,,2880,1958,49,1199999,2024-05-27,1200000,2024-07-15,890945,1239000,5184,417,33.963486,-118.174901,Southeast LA,Los Angeles,06037,,0,4,,,,,,,Los Angeles Unified School District,http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m979435397od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m979435397od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m2561385305od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m752688608od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m3475795255od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m3160921145od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b81299e059254cd1d064ac336092bf78l-m2273822297od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1095987197,MRCA,DW24015961,SOLD,"Lovely home boasting 4 bedrooms and 2 bathrooms with a great location, centrally located to schools, shopping, restaurants and freeways.",SINGLE_FAMILY,5231 Clara St,5231 Clara St,,Cudahy,CA,90201,4,2,,1400,1957,5,485000,2024-02-24,485000,2024-02-29,337301,750800,6325,346,33.965094,-118.173773,Southeast LA,Los Angeles,06037,1,0,2,Joshua Lee Glaz,joshua@theave.agency,"[{'number': '5624139399', 'type': 'Office', 'ext': '', 'primary': True}]",,,,Los Angeles Unified School District,,
