property_url,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,assessed_value,estimated_value,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent,agent_email,agent_phones,broker,broker_phone,broker_website,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/1303752899,WECA,25520471,SOLD,"Welcome to 18454 Clifftop Way, a unique ocean view listing on a cul-de-sac in the highly coveted Sunset Mesa neighborhood . This flat, build-ready lot boasts nearly 6, 000 square feet, presenting a rare opportunity to construct your dream home with breathtaking 180 degree ocean vistas extending from Santa Monica to Palos Verdes and Catalina, plus the Santa Monica Mountains. The lot is on one of the Mesa's rare flat streets. This configuration not only offers easy access for construction vehicles but is great for walking and biking. Electrical utilities are already underground. The neighborhood is one of the most cherished on the Westside of Los Angeles, located just up the hill from the iconic Getty Villa. Close to Malibu, Santa Monica, and the Palisades it has access to the Malibu-Santa Monica School District. Experience the tranquility and prestige of Malibu living, all while being a short drive from vibrant city life. Don't miss out on this prime location to build the ocean view home you've always envisioned. Phase 1 was completed by the EPA and Phase 2 debris removal has been completed by a private contractor hired by the Seller. There are CC&R's in Sunset Mesa. Ocean views are protected.",LAND,18454 Clifftop Way,18454 Clifftop Way,,Malibu,CA,90265,,,,,,33,1550000,2025-04-09,1480000,2025-05-12,931425,3035200,5990,,34.044109,-118.577658,,Los Angeles,06037,,0.0,,Andrea Samulon,andreasamulon@pacunionla.com,"[{'number': '3106990885', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Santa Monica-Malibu Unified School District,http://ap.rdcpix.com/f8e7b9bcca0ec685030390f5b7083eaal-m3153612933od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/f8e7b9bcca0ec685030390f5b7083eaal-m3153612933od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1114746337,MRCA,SR25018333,SOLD,"Preeminent year round sunset views of the horizon and mountains, this home is nestled within one of Malibus most exclusive gated enclaves, bordered by protected parkland, this estate offers unparalleled privacy in a peaceful setting within two minutes to PCH. This home features soaring ceilings, custom white oak floors, and an architectural open staircase, all illuminated by expansive floor-to-ceiling windows and skylights. Every space is bathed in natural light, creating a seamless blend of indoor and outdoor living. The grand main level, boasts two living rooms, a family room, a formal dining room, and a chefs kitchen with an oversized island and two eat-in areas. These exquisite spaces flow effortlessly to a 2, 000 sq ft wraparound deck, meticulously tiled and designed to frame stunning views of the pool, gardens, and the breathtaking horizon. A private library/office with bespoke built-ins and a guest suite with an adjacent bath complete this level.The homes six luxurious bedrooms and seven baths include five ensuite retreats, four of which feature their own private balconies with inspiring views. The primary suite is a sanctuary, with its own fireplace, a sprawling, oversized private balcony, dual spa-like baths, and bespoke walk-in closets and floor to ceiling windows that showcase the stunning sunsets. The upper level also offers a media roomcurrently a refined executive officeand an adjoining family lounge separated by striking 10-ft glass doors. The estate's grounds are a sanctuary of tranquility, featuring a resort-caliber pool and spa with an expansive pool deck perfect for hosting gatherings. Hidden gardens, including a Zen bamboo retreat with a built-in gas firepit, provide peaceful escapes. The estate also includes orchards, vegetable gardens, a rose garden, and multiple serene sitting areas, all surrounded by lush parkland, a grassy play area and an enclosed pet area. The Pinnacle of Modern Luxury-This turn-key compound boasts state-of-the-art technology, including automated blinds, custom blackout drapery, a wireless sound system, hard-wired security cameras, multi-zone Nest climate control, and a home alarm system. A three-car garage features dedicated Tesla and Porsche chargers, while the entire structure is steel-reinforced for modern seismic stability.Nestled within one of Malibus most exclusive gated enclaves, bordered by protected parkland, unparalleled privacy in a peaceful setting without having to climb any Malibu canyons.",SINGLE_FAMILY,6047 Cavalleri Rd,6047 Cavalleri Rd,,Malibu,CA,90265,6,7,,5823,2001,102,4950000,2025-01-26,4825000,2025-05-08,4775436,5560445,92025,829,34.032076,-118.803095,,Los Angeles,06037,2,83.0,3,lisa weber,lisaweberhomes@outlook.com,"[{'number': '8183789708', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '8183789708', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,"Los Angeles County Office Of Education School District, Santa Monica-Malibu Unified School District",http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3672275800od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3672275800od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1654661914od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m2043754914od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1971052333od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3226549018od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3686755403od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1583014077od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m607984406od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3448005754od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1904333673od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m4230846407od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1464116268od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3396361321od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m236550063od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3319880569od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3560263337od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m594830153od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m2911229361od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3540581391od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1816870117od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1406453064od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m978465149od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m1123352858od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m2745532510od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3483472170od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3069352941od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m949278722od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m2561139290od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3994535676od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m3132268897od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m122919765od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m2693632013od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/366f85d839ed62608fd0ba5745ac75b3l-m787990188od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1930294612,WECA,24-463031,SOLD,"Welcome to 211, sweeping ocean views in Malibu's sought-after Point Dume Club. This fully remodeled home offers perimeter views of the ocean, mountains, and the incredible sunset views that PDC has become known for. Designed with a bright and open layout, the home features high ceilings and abundant natural light throughout. The spacious living room connects seamlessly to a large stone patio through a full wall of sliding glass doors, creating an ideal space to enjoy Malibu's coastal scenery. The modern kitchen is equipped with stainless steel appliances, updated countertops, and sleek finishes for an inviting, functional space. The primary suite includes a spa-inspired bathroom with an oversized steam shower and a separate soaking tub, providing a comfortable retreat. Exterior updates add warmth while mature landscaping creates privacy and a natural green backdrop. Residents have access to Point Dume Club's amenities, including a private path to Zuma Beach, a pool, clubhouse, and tennis courts. Bike or golf cart to the nearby shops or restaurants, or grab your board and run down for a surf! This home offers a relaxed, turnkey experience in one of Malibu's prime locations.",MOBILE,29500 Heathercliff Rd Spc 211,29500 Heathercliff Rd,Spc 211,Malibu,CA,90265,3,2,,,,154,2895000,2024-12-03,2895000,2025-05-06,,2866000,,,34.036171,-118.689568,Eastern Malibu,Los Angeles,06037,1,0.0,,Lily Harfouche,Lily@LilyHarfouche.com,"[{'number': '3102667291', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '3102667291', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '3102667291', 'type': 'Office', 'ext': '', 'primary': True}]",,,,Santa Monica-Malibu Unified School District,http://ap.rdcpix.com/9104d78a1b709740bc187c72874c25e2l-m933201209od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/9104d78a1b709740bc187c72874c25e2l-m933201209od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/9811792074,WECA,24-457637,SOLD,One acre in Malibu with ocean and mountain views. The property itself has been partially cleared and improved with pathways and stairs. Seller is selling as-is. Private Gated Road to Property via Deer Creek or Yerba Buena Road.,LAND,Cotharin Rd,Cotharin Rd,,Malibu,CA,90265,,,,,,189,55000,2024-10-28,30000,2025-05-05,,,43560,,,,,Los Angeles,,,0.0,,Samuel Johnston,samuel.johnston@cbrealty.com,"[{'number': '3104576550', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '7472198078', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,,http://ap.rdcpix.com/552b2ff54af3bc5ba0c19b1995a95b3al-b2880210768od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/552b2ff54af3bc5ba0c19b1995a95b3al-b2880210768od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2043036591,WECA,25520623,SOLD,"16 Malibu Acres ! One of the largest flat, cleared meadows in Malibu, beautifully surrounded by a mature oak grove. This expansive property offers numerous flat, usable acres of land, with 650 feet of frontage along Mulholland Highway and 180 feet on Decker Canyon Road. Property borders Federal Land with endless hiking and horse trails including the nearby famous Backbone trail. It includes both a private water well and a city water meter for added convenience. Comprehensive reports are available, including a Spring Biology Report, Geology Report, Percolation Tests, Survey, and Preliminary Plans by renowned architect Doug Burdge, along with a Grading Plan. Nearby homes have sold for $5 million and beyond, making this an exceptional opportunity to create your own gentleman's ranch or Malibu Hills estate. Access is effortless, with a scenic drive up Encinal to Decker Canyon, and it's only 15 minutes to shopping at Trancas, Point Dume, and Malibu or to Westlake Village.",LAND,33500 Mulholland Hwy,33500 Mulholland Hwy,,Malibu,CA,90265,,,,,,32,675000,2025-04-04,645000,2025-05-06,589138,,694615,,34.085575,-118.87648,,Los Angeles,06037,,0.0,,Bill Moss,billmossmalibu@yahoo.com,"[{'number': '3102935503', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '3104565872', 'type': 'Fax', 'ext': '', 'primary': False}, {'number': '3104565872', 'type': 'Fax', 'ext': '', 'primary': False}]",,,,"Los Angeles County Office Of Education School District, Santa Monica-Malibu Unified School District",http://ap.rdcpix.com/79a0f706b868418767c45217fd547c37l-b771688666od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/79a0f706b868418767c45217fd547c37l-b771688666od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1437048069,WECA,25533553,SOLD,Property sold before being marketed Entry provided exclusively for comparable purposes DOM 0,CONDOS,11924 Whalers Ln,11924 Whalers Ln,,Malibu,CA,90265,2,1,,1044,1974,,1455000,2025-05-02,1455000,2025-04-09,615457,1098000,1742,1394,34.04902,-118.953543,,Ventura,06111,1,469.0,,James Respondek,james@jamesrespondek.com,"[{'number': '3105664400', 'type': 'Office', 'ext': '', 'primary': True}, {'number': '3104884400', 'type': 'Mobile', 'ext': '', 'primary': True}, {'number': '3104540063', 'type': 'Fax', 'ext': '', 'primary': False}]",,,,"Ocean View School District, Oxnard Union High School District",,
https://www.realtor.com/realestateandhomes-detail/1582427618,WECA,25503857,SOLD,"Property was sold off market. Listing was uploaded to MLS for comparable sales purposes. Build the private compound of your dreams in one of Malibu's best neighborhoods! With over 1 acre of usable land and unobstructed ocean views, this premier lot in Malibu Park will be sold with permits ready to issue for a private estate designed by Colega Architects. Situated on the southern side of Cuthbert, the property boasts panoramic views of the ocean, islands, and surrounding Santa Monica Mountains. The ~6, 000 square foot compound is an exemplary mid-century modern with impressive volumes and the perfect blend of grand rooms to entertain and private retreats to recharge and rejuvenate. A central great room flows seamlessly from a living area to a dining area and into an open-concept kitchen, featuring a massive island, breakfast bar, and a fully equipped butler's pantry. The primary suite is situated at the southernmost point of the home and includes an ocean-view bedroom with outdoor access and a spa-like bathroom with dual vanities, a soaking tub, and access to a private courtyard. There are three additional en-suite bedrooms, plus a family room and office. Designed for seamless indoor/outdoor living, the plans offer a plethora of beautiful outdoor spaces, with a massive half-covered sun deck connecting the living areas to a pool/spa, a built-in cold plunge, a grassy lawn, a rooftop deck with a gas fire pit, and more. The home totals ~4, 521 square feet of living space and an attached~540 sq. ft. two-car garage. The sale also includes plans for a detached ADU of ~1, 200 sq. ft. that is nearly ready to submit, complete with underlying geology documents and a location with setbacks compliant with the City's regulations. This home is moments from both Zuma Canyon and the Backbone trail network, providing endless miles for hiking, mountain biking, and horseback riding. Malibu Park offers the perfect blend of luxury and serenity in a rural setting, minutes from the sand and surf at Zuma Beach, highly-ranked schools, markets, restaurants, and more. With the costly process of planning and achieving permits already completed, this is a rare opportunity to build a private compound in one of Malibu's most idyllic neighborhoods. Permits are pending and the lot will be delivered fully entitled at the close of escrow with permits ready to issue.",LAND,29636 Cuthbert Rd,29636 Cuthbert Rd,,Malibu,CA,90265,,,,,,0,2810000,2025-04-23,2810000,2025-04-23,2392920,3030245,45638,,34.032713,-118.819648,"Western Malibu, Malibu Park",Los Angeles,06037,,0.0,,Russell Grether,russell@compass.com,"[{'number': '3109944247', 'type': 'Mobile', 'ext': '', 'primary': True}, {'number': '3102305771', 'type': 'Office', 'ext': '', 'primary': True}]",,,,"Los Angeles County Office Of Education School District, Santa Monica-Malibu Unified School District",,
https://www.realtor.com/realestateandhomes-detail/2662668333,WECA,25496629,SOLD,Palisades Fire burn-out lot. Panoramic ocean views. Close to Dukes restaurant. Phase 1 complete. Everyone must sign the attached General Waiver and Release of Liability Form Form before visiting the property.,LAND,21003 Pacific Coast Hwy,21003 Pacific Coast Hwy,,Malibu,CA,90265,,,,,,67,850000,2025-02-10,475000,2025-04-18,798695,855700,14980,,34.037846,-118.632224,Eastern Malibu,Los Angeles,06037,,0.0,,Brian Goldberg,brian@luxurymalibuproperty.com,"[{'number': '3104034623', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Santa Monica-Malibu Unified School District,http://ap.rdcpix.com/e5c988df88e2f5ce5be0cf0ffb7f9bbdl-m1614917053od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/e5c988df88e2f5ce5be0cf0ffb7f9bbdl-m1614917053od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1596924069,WECA,24-453825,SOLD,"Nestled in the prestigious Cavalleri Estates, this newly constructed architectural masterpiece offers a glimpse into the visionary mind of a world-renowned architect. Perched atop a gently sloping 2+ acre lot on the coveted south side of the street, this fully fenced and gated ocean view estate showcases the exquisite design of Tobias Architecture. The 5, 533 square foot Architectural Farmhouse seamlessly blends indoor and outdoor living, featuring expansive windows that frame breathtaking ocean views from nearly every room. The heart of the home is a stunning live-in kitchen, outfitted with Italian slab countertops, twin 36 Sub-Zero refrigerator and freezer, dual Miele dishwashers, a 6-burner Wolf range with double ovens, Scotsman ice maker, and elegant Waterworks fixtures. The property boasts 4 en-suite bedrooms, 2 powder rooms, and a media room, all designed with meticulous attention to detail. Multiple outdoor terraces, including a pool-side kitchen area, provide ample space for entertaining and relaxation. The estate's extensive pathway system winds through the usable acreage, offering opportunities for exercise and exploration. Additional luxurious amenities include a sun-drenched pool and spa, Sonos sound system throughout, ample guest parking, and dramatic sunrise and sunset views from the primary deck. This Malibu dream home represents the pinnacle of coastal living, seamlessly blending architectural excellence with the natural beauty of its surroundings.",SINGLE_FAMILY,5944 Cavalleri Rd,5944 Cavalleri Rd,,Malibu,CA,90265,4,4,2,5533,2021,172,7395000,2024-10-17,7250000,2025-04-07,1303608,7208422,92740,1310,34.031712,-118.799949,Central Malibu,Los Angeles,06037,2,0.0,2,Chris Cortazzo,Chris@chriscortazzo.com,"[{'number': '3105795887', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,"Los Angeles County Office Of Education School District, Santa Monica-Malibu Unified School District",http://ap.rdcpix.com/1dd916f817fe6b9cf3c988408d123c5el-m2039466876od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/1dd916f817fe6b9cf3c988408d123c5el-m2039466876od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1501525181,WECA,25506361,SOLD,"One-of-a-kind opportunity to own an iconic, Architectural Digest-featured property in the exclusive community of Paradise Cove. This jewel of a bungalow is more than just a home: It's a bespoke piece of art that blends sophisticated design with cozy beachside living. Meticulously redesigned by acclaimed interior designer Amy Kehoe with highest-end features and the utmost attention to detail, the bespoke retreat is a testament to both charm and functionality. Tucked into the coveted lower bowl of Paradise Cove, the home offers incredible curb appeal thanks to the luxe, deep-burgundy Farrow and Ball Brinjal paint that wraps the exterior - a hint at the stunning touches and sleek vignettes you'll find both inside and out. Step through the elegant front door and find a serene living space flooded with natural light thanks to the oversized windows and skylights. Wide-plant engineered pine floors and shiplap walls create a bright and airy ambiance, and custom furnishings and fabrics provide both style and efficiency. The kitchen is beautifully anchored by a perfectly-proportioned BlueStar range and milky-stone countertops shot through with emerald veining that evoke the sea just moments away. Innovative space-maximizing features are everywhere, from the stowaway storage to the custom-built furnishings by Waka Waka and Green River Project. A chic curtain of Susan Deliss fabric welcomes you into the bedroom, a serene retreat enveloped in Idarica Gazzoni's Tree of Life wallpaper, with custom-built nightstands and luxurious finishes. The showstopper of a bathroom - featuring floor-to-ceiling blush-pink Zellige tiles, vintage glass sconces, and Waterworks fittings - is a serene sanctuary-within-a-sanctuary. French doors open from the bedroom onto a peaceful, private outdoor oasis complete with an inviting built-in nook for relaxation or entertaining. The property is offered fully-furnished (including a top-of-the-line golf cart), with each piece having been hand-selected to complement this extraordinary home's design aesthetic. Equally exceptional is the idyllic community of Paradise Cove, where residents enjoy gated security for peace of mind, tennis and basketball courts, a large clubhouse for group gatherings overlooking the ocean, a playground, and - of course - access to world-famous Paradise Cove Beach. Truly a showpiece of impeccable style, this property's timeless beauty speaks for itself and offers a unique turnkey solution for anyone seeking a stylish coastal retreat and access to one of Malibu's most storied communities.",MOBILE,16 Paradise Cove Rd,16 Paradise Cove Rd,,Malibu,CA,90265,1,1,,,,40,1565000,2025-03-07,1450000,2025-04-16,,,,,34.023628,-118.786526,Central Malibu,Los Angeles,06037,1,2072.0,,Ren Smith,ren@rensmith.com,"[{'number': '3105675704', 'type': 'Mobile', 'ext': '', 'primary': True}]",,,,Santa Monica-Malibu Unified School District,http://ap.rdcpix.com/f5454bb6330285b9dacff28a1c01b938l-b252011150od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/f5454bb6330285b9dacff28a1c01b938l-b252011150od-w480_h360_x2.webp?w=1080&q=75
